Raw likert calculation,Likert Score,Admin Data Item,Academic Year,Non-White Teachers %,Non-White Students %,School Name,DESE ID,African American,Asian,Hispanic,White,Native American,Native Hawaiian or Pacific Islander,Multi-Race or Non-Hispanic,Males,Females,Non-Binary,Students of color (%)
1.2882147024504085,1.29,a-cure-i1,2022-23,6.9,85.7,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,  55.4,   2.9,  21.6,  14.3,   0.4,   0.1,   5.3,  46.6,  53.4,   0.0
1,1,a-cure-i1,2022-23,0.0,25.299999999999997,Abington - Abington Early Education Program,00010001,   9.2,   5.7,   8.0,  74.7,   1.1,   0.0,   1.1,  64.4,  35.6,   0.0
1,1,a-cure-i1,2022-23,2.6,23.400000000000006,Abington - Abington High,00010505,   5.3,   2.2,  14.4,  76.6,   0.4,   0.0,   1.1,  51.5,  48.0,   0.5
4.524590163934425,4.52,a-cure-i1,2022-23,6.9,24.400000000000006,Abington - Abington Middle School,00010405,   6.2,   2.0,  14.2,  75.6,   0.5,   0.2,   1.4,  50.2,  49.5,   0.3
1,1,a-cure-i1,2022-23,3.7,28.200000000000003,Abington - Beaver Brook Elementary,00010020,   6.1,   2.5,  14.6,  71.8,   0.2,   0.2,   4.6,  48.6,  51.4,   0.0
4.363636363636363,4.36,a-cure-i1,2022-23,6.6,24.200000000000003,Abington - Woodsdale Elementary School,00010015,   5.1,   3.0,  13.4,  75.8,   0.9,   0.0,   1.8,  52.2,  47.5,   0.3
6.178723404255319,5,a-cure-i1,2022-23,36.3,94.0,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,  64.9,   0.0,  26.6,   6.0,   0.0,   0.0,   2.6,  50.3,  49.7,   0.0
1,1,a-cure-i1,2022-23,4.2,50.4,Acton-Boxborough - Acton-Boxborough Regional High,06000505,   3.2,  36.8,   6.8,  49.6,   0.2,   0.2,   3.1,  52.0,  47.3,   0.7
1,1,a-cure-i1,2022-23,3.6,46.4,Acton-Boxborough - Blanchard Memorial School,06000005,   3.2,  27.7,   9.5,  53.6,   0.2,   0.0,   5.9,  50.6,  49.2,   0.2
1,1,a-cure-i1,2022-23,0.5,36.3,Acton-Boxborough - C.T. Douglas Elementary School,06000020,   2.1,  15.9,  10.3,  63.7,   0.0,   0.0,   8.0,  53.6,  46.4,   0.0
1,1,a-cure-i1,2022-23,0.0,60.7,Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,   5.6,  39.3,   7.5,  39.3,   0.0,   0.0,   8.4,  61.7,  38.3,   0.0
2.7891891891891887,2.79,a-cure-i1,2022-23,12.899999999999999,74.0,Acton-Boxborough - Luther Conant School,06000030,   2.9,  58.1,   7.8,  26.0,   0.0,   0.0,   5.1,  52.7,  47.3,   0.0
1,1,a-cure-i1,2022-23,4.2,29.599999999999994,Acton-Boxborough - McCarthy-Towne School,06000015,   2.9,   9.9,  10.8,  70.4,   0.0,   0.0,   6.1,  51.1,  48.7,   0.2
1,1,a-cure-i1,2022-23,4.3,34.099999999999994,Acton-Boxborough - Merriam School,06000010,   2.8,  16.7,   6.7,  65.9,   0.0,   0.0,   7.9,  49.2,  50.3,   0.5
1,1,a-cure-i1,2022-23,4.1,72.0,Acton-Boxborough - Paul P Gates Elementary School,06000025,   1.1,  56.3,   6.9,  28.0,   0.0,   0.0,   7.7,  50.0,  50.0,   0.0
2.862823061630219,2.86,a-cure-i1,2022-23,9.0,50.3,Acton-Boxborough - Raymond J Grey Junior High,06000405,   3.3,  35.9,   7.4,  49.7,   0.2,   0.1,   3.4,  52.7,  47.0,   0.2
1,1,a-cure-i1,2022-23,2.9,12.400000000000006,Acushnet - Acushnet Elementary School,00030025,   1.4,   0.9,   6.1,  87.6,   0.7,   0.2,   3.1,  55.0,  45.0,   0.0
1,1,a-cure-i1,2022-23,0.0,10.799999999999997,Acushnet - Albert F Ford Middle School,00030305,   1.2,   0.5,   4.7,  89.2,   0.5,   0.0,   3.9,  48.9,  50.9,   0.2
4.951140065146579,4.95,a-cure-i1,2022-23,9.5,30.700000000000003,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,   2.8,  11.9,   8.5,  69.3,   0.0,   0.0,   7.6,  54.2,  45.0,   0.7
1,1,a-cure-i1,2022-23,0.0,29.099999999999994,Agawam - Agawam Early Childhood Center,00050003,   0.7,   7.4,  18.9,  70.9,   0.0,   0.0,   2.0,  62.2,  37.8,   0.0
1,1,a-cure-i1,2022-23,1.6,18.599999999999994,Agawam - Agawam High,00050505,   2.5,   4.2,   9.1,  81.4,   0.0,   0.0,   2.9,  51.7,  47.5,   0.8
1,1,a-cure-i1,2022-23,2.1,22.400000000000006,Agawam - Agawam Junior High,00050405,   2.9,   3.1,  14.1,  77.6,   0.0,   0.0,   2.3,  56.0,  43.8,   0.2
1,1,a-cure-i1,2022-23,0.0,17.200000000000003,Agawam - Benjamin J Phelps,00050020,   2.3,   3.6,   8.1,  82.8,   0.3,   0.0,   2.9,  52.6,  47.4,   0.0
1,1,a-cure-i1,2022-23,0.0,24.200000000000003,Agawam - Clifford M Granger,00050010,   0.9,   3.9,  16.7,  75.8,   0.6,   0.0,   2.1,  50.7,  49.3,   0.0
1,1,a-cure-i1,2022-23,0.0,22.099999999999994,Agawam - James Clark School,00050030,   1.6,   4.9,  12.1,  77.9,   0.0,   0.0,   3.6,  52.8,  47.2,   0.0
1,1,a-cure-i1,2022-23,0.0,18.700000000000003,Agawam - Roberta G. Doering School,00050303,   2.9,   2.7,  10.0,  81.3,   0.2,   0.2,   2.7,  49.4,  50.6,   0.0
1,1,a-cure-i1,2022-23,0.0,24.5,Agawam - Robinson Park,00050025,   2.9,   2.5,  14.4,  75.5,   0.0,   0.0,   4.7,  46.9,  53.1,   0.0
3.6491228070175437,3.65,a-cure-i1,2022-23,18.2,79.8,Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,  14.2,   0.5,  60.3,  20.2,   0.5,   0.0,   4.3,  46.7,  53.3,   0.0
1,1,a-cure-i1,2022-23,0.0,14.0,Amesbury - Amesbury Elementary,00070005,   2.1,   0.0,   8.2,  86.0,   0.0,   0.0,   3.7,  49.7,  50.3,   0.0
1,1,a-cure-i1,2022-23,4.4,18.5,Amesbury - Amesbury High,00070505,   1.5,   1.5,  10.6,  81.5,   0.0,   0.0,   4.9,  50.8,  49.2,   0.0
1,1,a-cure-i1,2022-23,0.0,17.799999999999997,Amesbury - Amesbury Innovation High School,00070515,   0.0,   0.0,   8.9,  82.2,   0.0,   0.0,   8.9,  46.7,  53.3,   0.0
