Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,African American,Asian,Hispanic,White,Native American,Native Hawaiian or Pacific Islander,Multi-Race or Non-Hispanic,Males,Females,Non-Binary,Students of color (%),Non-White Teachers %,Non-White Students %
2.076749435665915,2.08,a-cure-i1,2024-25,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,   0.6,   2.7,  55.9,  24.3,   5.0,   0.1,  11.4,  53.6,  46.4,   0.0,88.6,11.500000000000002
1,1,a-cure-i1,2024-25,Abington - Abington Early Education Program,00010001,   1.2,   6.1,   9.8,  13.4,   7.3,   0.0,  62.2,  40.2,  59.8,   0.0,37.8,0.0
1,1,a-cure-i1,2024-25,Abington - Abington High,00010505,   0.2,   1.9,   8.1,  17.2,   1.9,   0.0,  70.8,  49.1,  50.4,   0.6,29.200000000000003,2.4
4.671532846715327,4.67,a-cure-i1,2024-25,Abington - Abington Middle School,00010405,   0.4,   2.5,   6.3,  15.7,   2.4,   0.0,  72.6,  49.6,  50.1,   0.3,27.400000000000006,8.0
1,1,a-cure-i1,2024-25,Abington - Beaver Brook Elementary,00010020,   0.2,   2.2,   5.5,  17.3,   4.3,   0.0,  70.5,  47.3,  52.7,   0.0,29.5,0.0
3.2751677852348995,3.28,a-cure-i1,2024-25,Abington - Woodsdale Elementary School,00010015,   0.5,   2.2,   8.3,  14.5,   4.0,   0.3,  70.2,  51.3,  48.7,   0.0,29.799999999999997,6.1
5.971370143149285,5,a-cure-i1,2024-25,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,   0.8,   0.0,  62.9,  31.8,   2.4,   0.0,   2.2,  46.6,  53.4,   0.0,97.8,36.5
1,1,a-cure-i1,2024-25,Acton-Boxborough - Acton-Boxborough Regional High,06000505,   0.2,  37.8,   3.6,   8.4,   3.5,   0.2,  46.3,  47.7,  51.7,   0.6,53.7,4.199999999999999
1,1,a-cure-i1,2024-25,Acton-Boxborough - Blanchard Memorial School,06000005,   0.2,  30.3,   2.6,   9.4,   7.0,   0.0,  50.5,  49.9,  49.7,   0.4,49.5,0.0
1,1,a-cure-i1,2024-25,Acton-Boxborough - C.T. Douglas Elementary School,06000020,   0.0,  14.2,   1.7,  12.0,   9.3,   0.0,  62.7,  50.7,  49.3,   0.0,37.3,0.0
1,1,a-cure-i1,2024-25,Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,   0.0,  30.2,   7.8,  11.2,   8.6,   0.0,  42.2,  40.5,  59.5,   0.0,57.8,0.0
2.7507163323782238,2.75,a-cure-i1,2024-25,Acton-Boxborough - Luther Conant School,06000030,   0.0,  52.4,   4.1,   7.1,   6.1,   0.0,  30.2,  47.8,  52.2,   0.0,69.8,12.0
1,1,a-cure-i1,2024-25,Acton-Boxborough - McCarthy-Towne School,06000015,   0.0,   9.3,   4.2,  14.4,   5.8,   0.0,  66.4,  51.3,  48.7,   0.0,33.599999999999994,0.0
1,1,a-cure-i1,2024-25,Acton-Boxborough - Merriam School,06000010,   0.0,  16.5,   4.1,   7.6,   7.3,   0.0,  64.6,  50.6,  49.1,   0.3,35.400000000000006,0.0
1,1,a-cure-i1,2024-25,Acton-Boxborough - Paul P Gates Elementary School,06000025,   0.0,  55.0,   2.6,   6.3,   7.4,   0.0,  28.7,  47.1,  52.9,   0.0,71.3,4.3
2.422310756972111,2.42,a-cure-i1,2024-25,Acton-Boxborough - Raymond J Grey Junior High,06000405,   0.0,  32.5,   2.2,   9.7,   5.8,   0.0,  49.8,  49.4,  50.0,   0.6,50.2,7.6
1,1,a-cure-i1,2024-25,Acushnet - Acushnet Elementary School,00030025,   0.8,   0.4,   1.2,   9.1,   2.7,   0.0,  85.9,  44.3,  55.7,   0.0,14.099999999999994,3.2
1,1,a-cure-i1,2024-25,Acushnet - Albert F Ford Middle School,00030305,   0.5,   1.0,   1.5,   5.0,   3.0,   0.0,  89.1,  47.6,  52.4,   0.0,10.900000000000006,4.2
4.904024767801857,4.9,a-cure-i1,2024-25,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,   0.2,   8.9,   3.5,  12.5,   7.1,   0.1,  67.7,  46.8,  52.3,   0.9,32.3,9.899999999999999
1,1,a-cure-i1,2024-25,Agawam - Agawam Early Childhood Center,00050003,   0.0,   3.0,   3.0,  11.1,   3.7,   0.0,  79.3,  45.9,  54.1,   0.0,20.700000000000003,0.0
1,1,a-cure-i1,2024-25,Agawam - Agawam High,00050505,   0.0,   3.6,   3.0,  12.2,   3.0,   0.0,  78.1,  46.2,  53.2,   0.6,21.900000000000006,1.2
1,1,a-cure-i1,2024-25,Agawam - Agawam Junior High,00050405,   0.0,   2.3,   3.4,  10.6,   2.8,   0.2,  80.6,  49.7,  50.3,   0.0,19.400000000000006,0.0
1,1,a-cure-i1,2024-25,Agawam - Benjamin J Phelps,00050020,   0.3,   5.3,   2.6,  12.5,   3.3,   0.3,  75.7,  49.3,  50.7,   0.0,24.299999999999997,0.0
1,1,a-cure-i1,2024-25,Agawam - Clifford M Granger,00050010,   0.0,   1.9,   0.3,  17.7,   2.5,   0.0,  77.6,  45.7,  54.3,   0.0,22.400000000000006,0.0
1,1,a-cure-i1,2024-25,Agawam - James Clark School,00050030,   0.3,   3.7,   3.4,  15.5,   2.0,   0.0,  75.1,  43.1,  56.9,   0.0,24.900000000000006,0.0
1,1,a-cure-i1,2024-25,Agawam - Roberta G. Doering School,00050303,   0.0,   4.2,   1.9,  12.1,   3.1,   0.2,  78.5,  49.0,  51.0,   0.0,21.5,0.0
1,1,a-cure-i1,2024-25,Agawam - William P. Sapelli Elementary,00050025,   0.7,   2.8,   3.4,  15.2,   2.4,   0.0,  75.5,  55.2,  44.8,   0.0,24.5,0.0
4.067796610169492,4.07,a-cure-i1,2024-25,Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,   0.6,   0.5,  15.9,  61.0,   4.6,   0.0,  17.4,  53.2,  46.8,   0.0,82.6,21.0
1,1,a-cure-i1,2024-25,Amesbury - Amesbury High,00070505,   0.2,   3.3,   1.0,  11.4,   4.4,   0.0,  79.6,  47.8,  52.2,   0.0,20.400000000000006,2.3
1,1,a-cure-i1,2024-25,Amesbury - Amesbury Innovation High School,00070515,   0.0,   0.0,   2.0,  14.0,  10.0,   0.0,  74.0,  42.0,  58.0,   0.0,26.0,0.0
3.9272727272727277,3.93,a-cure-i1,2024-25,Amesbury - Amesbury Middle,00070013,   0.0,   1.6,   1.9,  13.7,   4.4,   0.3,  78.0,  44.5,  55.5,   0.0,22.0,5.4
1,1,a-cure-i1,2024-25,Amesbury - Charles C Cashman Elementary,00070010,   0.0,   1.0,   1.2,  14.8,   2.2,   0.0,  80.9,  49.2,  50.8,   0.0,19.099999999999994,0.0
1,1,a-cure-i1,2024-25,Amesbury - Shay Elementary,00070005,   0.4,   0.8,   3.1,  12.8,   2.7,   0.0,  80.2,  51.5,  48.5,   0.0,19.799999999999997,0.0
1,1,a-cure-i1,2024-25,Amherst - Crocker Farm Elementary,00080009,   0.0,  11.9,  11.6,  20.4,   8.8,   0.3,  47.0,  51.3,  47.0,   1.7,53.0,4.0
10.281786941580757,5,a-cure-i1,2024-25,Amherst - Fort River Elementary,00080020,   0.0,  10.0,   7.0,  35.3,   5.9,   0.0,  41.8,  47.4,  52.6,   0.0,58.2,37.400000000000006
12.529100529100528,5,a-cure-i1,2024-25,Amherst - Wildwood Elementary,00080050,   0.6,  17.5,  11.8,  18.8,   8.0,   0.0,  43.3,  50.0,  49.7,   0.3,56.7,44.4
6.723595505617977,5,a-cure-i1,2024-25,Amherst-Pelham - Amherst Regional High,06050505,   0.0,  11.6,   7.6,  18.5,   6.6,   0.1,  55.5,  46.1,  52.0,   2.0,44.5,18.7
5.073995771670191,5,a-cure-i1,2024-25,Amherst-Pelham - Amherst Regional Middle School,06050405,   0.5,   9.6,  11.2,  18.9,   7.1,   0.0,  52.7,  47.8,  49.7,   2.5,47.3,15.000000000000002
5.1891891891891895,5,a-cure-i1,2024-25,Andover - Andover High,00090505,   0.2,  21.3,   3.0,   8.8,   3.5,   0.1,  63.0,  49.0,  50.8,   0.1,37.0,12.0
1,1,a-cure-i1,2024-25,Andover - Andover West Middle,00090310,   0.0,  19.5,   3.5,  10.2,   3.9,   0.0,  62.8,  52.6,  47.4,   0.0,37.2,3.1
1,1,a-cure-i1,2024-25,Andover - Bancroft Elementary,00090003,   0.0,   8.2,   0.8,   9.2,   5.2,   0.2,  76.4,  50.0,  50.0,   0.0,23.599999999999994,0.0
8.03238866396761,5,a-cure-i1,2024-25,Andover - Doherty Middle,00090305,   0.0,  10.5,   1.4,   6.9,   5.9,   0.0,  75.3,  50.9,  48.7,   0.4,24.700000000000003,12.4
1,1,a-cure-i1,2024-25,Andover - Henry C Sanborn Elementary,00090010,   0.3,  17.8,   3.0,   9.6,   7.8,   0.0,  61.4,  44.6,  55.4,   0.0,38.6,0.0
1,1,a-cure-i1,2024-25,Andover - High Plain Elementary,00090004,   0.0,  25.1,   5.1,  14.3,   8.1,   0.2,  47.1,  48.3,  51.7,   0.0,52.9,4.2
3.8834951456310676,3.88,a-cure-i1,2024-25,Andover - Shawsheen School,00090005,   0.0,  21.2,   2.4,  14.1,   3.5,   0.0,  58.8,  35.3,  64.7,   0.0,41.2,10.0
1,1,a-cure-i1,2024-25,Andover - South Elementary,00090020,   0.0,  16.7,   0.7,   8.2,   7.1,   0.0,  67.4,  46.1,  53.9,   0.0,32.599999999999994,0.0
1,1,a-cure-i1,2024-25,Andover - West Elementary,00090025,   0.2,  18.0,   6.0,  10.9,   5.6,   0.0,  59.3,  44.0,  56.0,   0.0,40.7,1.4
2.3747680890538034,2.37,a-cure-i1,2024-25,Andover - Wood Hill Middle School,00090350,   0.3,  31.5,   4.1,  15.5,   2.5,   0.0,  46.1,  43.8,  55.8,   0.3,53.9,8.0
4.696969696969697,4.7,a-cure-i1,2024-25,Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,   0.7,   3.1,  17.7,  25.2,   5.8,   0.3,  47.2,  51.6,  47.9,   0.5,52.8,15.5
6.303030303030302,5,a-cure-i1,2024-25,Arlington - Arlington High,00100505,   0.1,  10.0,   3.5,   9.1,   6.7,   0.2,  70.3,  48.1,  50.1,   1.8,29.700000000000003,11.7
1,1,a-cure-i1,2024-25,Arlington - Brackett,00100010,   0.0,  12.2,   1.3,   7.1,  16.2,   0.0,  63.2,  46.7,  53.0,   0.3,36.8,4.7
